"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1960","European Economic Area (EU28 plus IS, LI, NO)","Natural change of population",":",""
"1960","European Economic Area (EU28 plus IS, LI, NO)","Net migration plus statistical adjustment",":",""
"1960","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - total ","406,362,168",""
"1960","European Economic Area (EU27 plus IS, LI, NO)","Live births - total",":",""
"1960","European Economic Area (EU27 plus IS, LI, NO)","Deaths - total",":",""
"1960","European Economic Area (EU27 plus IS, LI, NO)","Natural change of population",":",""
"1960","European Economic Area (EU27 plus IS, LI, NO)","Net migration plus statistical adjustment",":",""
"1960","European Free Trade Association","Population on 1 January - total ","9,053,336",""
"1960","European Free Trade Association","Live births - total","161,548",""
"1960","European Free Trade Association","Deaths - total","85,821",""
"1960","European Free Trade Association","Natural change of population","75,727",""
"1960","European Free Trade Association","Net migration plus statistical adjustment","19,781",""
"1960","Iceland","Population on 1 January - total ","173,855",""
"1960","Iceland","Live births - total","4,916",""
"1960","Iceland","Deaths - total","1,167",""
"1960","Iceland","Natural change of population","3,749",""
"1960","Iceland","Net migration plus statistical adjustment","-312",""
"1960","Liechtenstein","Population on 1 January - total ","16,274",""
"1960","Liechtenstein","Live births - total","380",""
"1960","Liechtenstein","Deaths - total","123",""
"1960","Liechtenstein","Natural change of population","257",""
"1960","Liechtenstein","Net migration plus statistical adjustment","97",""
"1960","Norway","Population on 1 January - total ","3,567,707",""
"1960","Norway","Live births - total","61,880",""
"1960","Norway","Deaths - total","32,437",""
"1960","Norway","Natural change of population","29,443",""
"1960","Norway","Net migration plus statistical adjustment","-2,379",""
"1960","Switzerland","Population on 1 January - total ","5,295,500",""
"1960","Switzerland","Live births - total","94,372",""
"1960","Switzerland","Deaths - total","52,094",""
"1960","Switzerland","Natural change of population","42,278",""
"1960","Switzerland","Net migration plus statistical adjustment","22,375",""
"1960","Montenegro","Population on 1 January - total ",":",""
"1960","Montenegro","Live births - total",":",""
"1960","Montenegro","Deaths - total",":",""
"1960","Montenegro","Natural change of population",":",""
"1960","Montenegro","Net migration plus statistical adjustment",":",""
"1960","North Macedonia","Population on 1 January - total ","1,384,451",""
"1960","North Macedonia","Live births - total","44,059",""
"1960","North Macedonia","Deaths - total","14,007",""
"1960","North Macedonia","Natural change of population","30,052",""
"1960","North Macedonia","Net migration plus statistical adjustment","-15,100",""
"1960","Albania","Population on 1 January - total ","1,583,800",""
"1960","Albania","Live births - total","69,686",""
"1960","Albania","Deaths - total","16,775",""
"1960","Albania","Natural change of population","52,911",""
"1960","Albania","Net migration plus statistical adjustment","-2,911",""
"1960","Serbia","Population on 1 January - total ",":",""
"1960","Serbia","Live births - total",":",""
"1960","Serbia","Deaths - total",":",""
"1960","Serbia","Natural change of population",":",""
"1960","Serbia","Net migration plus statistical adjustment",":",""
"1960","Turkey","Population on 1 January - total ","27,119,962",""
"1960","Turkey","Live births - total",":",""
"1960","Turkey","Deaths - total",":",""
"1960","Turkey","Natural change of population",":",""
"1960","Turkey","Net migration plus statistical adjustment",":",""
"1960","Andorra","Population on 1 January - total ",":",""
"1960","Andorra","Live births - total",":",""
"1960","Andorra","Deaths - total",":",""
"1960","Andorra","Natural change of population",":",""
"1960","Andorra","Net migration plus statistical adjustment",":",""
"1960","Belarus","Population on 1 January - total ",":",""
"1960","Belarus","Live births - total",":",""
"1960","Belarus","Deaths - total",":",""
"1960","Belarus","Natural change of population",":",""
"1960","Belarus","Net migration plus statistical adjustment",":",""
"1960","Bosnia and Herzegovina","Population on 1 January - total ","3,212,349",""
"1960","Bosnia and Herzegovina","Live births - total","110,499",""
"1960","Bosnia and Herzegovina","Deaths - total","33,360",""
"1960","Bosnia and Herzegovina","Natural change of population","77,139",""
"1960","Bosnia and Herzegovina","Net migration plus statistical adjustment","-23,859",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Population on 1 January - total ","932,500",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Live births - total","41,631",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Deaths - total","13,365",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Natural change of population","28,266",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Net migration plus statistical adjustment","-2,766",""
"1960","Moldova","Population on 1 January - total ",":",""
"1960","Moldova","Live births - total",":",""
"1960","Moldova","Deaths - total",":",""
"1960","Moldova","Natural change of population",":",""
"1960","Moldova","Net migration plus statistical adjustment",":",""
"1960","Monaco","Population on 1 January - total ",":",""
"1960","Monaco","Live births - total",":",""
"1960","Monaco","Deaths - total",":",""
"1960","Monaco","Natural change of population",":",""
"1960","Monaco","Net migration plus statistical adjustment",":",""
"1960","Russia","Population on 1 January - total ",":",""
"1960","Russia","Live births - total",":",""
"1960","Russia","Deaths - total",":",""
"1960","Russia","Natural change of population",":",""
"1960","Russia","Net migration plus statistical adjustment",":",""
"1960","San Marino","Population on 1 January - total ",":",""
"1960","San Marino","Live births - total",":",""
"1960","San Marino","Deaths - total",":",""
"1960","San Marino","Natural change of population",":",""
"1960","San Marino","Net migration plus statistical adjustment",":",""
"1960","Ukraine","Population on 1 January - total ",":",""
"1960","Ukraine","Live births - total",":",""
"1960","Ukraine","Deaths - total",":",""
"1960","Ukraine","Natural change of population",":",""
"1960","Ukraine","Net migration plus statistical adjustment",":",""
"1960","Armenia","Population on 1 January - total ",":",""
"1960","Armenia","Live births - total",":",""
"1960","Armenia","Deaths - total",":",""
"1960","Armenia","Natural change of population",":",""
"1960","Armenia","Net migration plus statistical adjustment",":",""
"1960","Azerbaijan","Population on 1 January - total ",":",""
"1960","Azerbaijan","Live births - total",":",""
"1960","Azerbaijan","Deaths - total",":",""
"1960","Azerbaijan","Natural change of population",":",""
"1960","Azerbaijan","Net migration plus statistical adjustment",":",""
"1960","Georgia","Population on 1 January - total ",":",""
"1960","Georgia","Live births - total",":",""
"1960","Georgia","Deaths - total",":",""
"1960","Georgia","Natural change of population",":",""
"1960","Georgia","Net migration plus statistical adjustment",":",""
"1961","European Union - 28 countries","Population on 1 January - total ","410,005,211",""
"1961","European Union - 28 countries","Live births - total","7,601,829",""
"1961","European Union - 28 countries","Deaths - total","4,140,600",""
"1961","European Union - 28 countries","Natural change of population","3,461,229",""
"1961","European Union - 28 countries","Net migration plus statistical adjustment","-33,579",""
"1961","European Union - 27 countries (from 2019)","Population on 1 January - total ","357,405,211",""
"1961","European Union - 27 countries (from 2019)","Live births - total","6,657,429",""
"1961","European Union - 27 countries (from 2019)","Deaths - total","3,508,800",""
"1961","European Union - 27 countries (from 2019)","Natural change of population","3,148,629",""
